id,attack_cat
0,Exploits
1,Reconnaissance
2,DoS
3,Analysis
4,Normal
5,Generic
6,Generic
7,Fuzzers
8,Exploits
9,Fuzzers
10,Generic
11,Fuzzers
12,Worms
13,Shellcode
14,Generic
15,Generic
16,Normal
17,Normal
18,Reconnaissance
19,Exploits
20,Generic
21,Generic
22,Exploits
23,Generic
24,Fuzzers
25,Worms
26,Analysis
27,Analysis
28,Generic
29,Generic
30,Normal
31,Exploits
32,Exploits
33,Exploits
34,Analysis
35,Exploits
36,Backdoor
37,Fuzzers
38,Reconnaissance
39,Exploits
40,Normal
41,Generic
42,Generic
43,Shellcode
44,Fuzzers
45,Exploits
46,Fuzzers
47,Shellcode
48,Generic
49,Generic
50,DoS
51,Shellcode
52,Normal
53,Exploits
54,Reconnaissance
55,Normal
56,Fuzzers
57,Generic
58,Worms
59,Backdoor
60,Backdoor
61,Generic
62,Normal
63,Exploits
64,Generic
65,Normal
66,Fuzzers
67,Normal
68,Generic
69,Normal
70,Normal
71,Generic
72,Normal
73,Generic
74,Fuzzers
75,Generic
76,Fuzzers
77,Backdoor
78,Backdoor
79,Normal
80,Analysis
81,Normal
82,Analysis
83,Backdoor
84,DoS
85,Worms
86,Reconnaissance
87,Reconnaissance
88,Reconnaissance
89,Analysis
90,Normal
91,Normal
92,Generic
93,Backdoor
94,Generic
95,Reconnaissance
96,Normal
97,Analysis
98,Fuzzers
99,Worms
100,Normal
101,Reconnaissance
102,Generic
103,Fuzzers
104,Fuzzers
105,Generic
106,Exploits
107,Analysis
108,Generic
109,Shellcode
110,Exploits
111,DoS
112,Exploits
113,Backdoor
114,Generic
115,Fuzzers
116,Normal
117,Generic
118,Generic
119,Shellcode
120,Reconnaissance
121,Worms
122,Exploits
123,Fuzzers
124,Normal
125,Generic
126,Generic
127,Fuzzers
128,Backdoor
129,Fuzzers
130,Worms
131,Normal
132,DoS
133,Exploits
134,Normal
135,Worms
136,Normal
137,Exploits
138,Exploits
139,Normal
140,Generic
141,Backdoor
142,Fuzzers
143,Fuzzers
144,Normal
145,Normal
146,Normal
147,Fuzzers
148,Normal
149,Analysis
150,Normal
151,Normal
152,Normal
153,Normal
154,Fuzzers
155,Fuzzers
156,Normal
157,Normal
158,Backdoor
159,Worms
160,Reconnaissance
161,Fuzzers
162,Fuzzers
163,Fuzzers
164,DoS
165,Generic
166,Backdoor
